Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
09:22:29          sda      0,20      0,00      1,60      0,00      8,00      0,00      4,50      0,09
09:22:29         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:29         sda2      0,20      0,00      1,60      0,00      8,00      0,00      4,50      0,09
09:22:29        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:29        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39          sda      0,90      0,00      5,60      0,00      6,22      0,00      1,44      0,09
09:22:39         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39         sda2      0,90      0,00      5,60      0,00      6,22      0,00      1,44      0,09
09:22:39        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:39        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49          sda      0,50      0,00     10,00      0,00     20,00      0,00      3,20      0,19
09:22:49         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49         sda2      0,50      0,00     10,00      0,00     20,00      0,00      3,20      0,19
09:22:49        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:49        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59          sda      0,40      0,00      4,80      0,00     12,00      0,00      5,25      0,17
09:22:59         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59         sda2      0,40      0,00      4,80      0,00     12,00      0,00      5,25      0,17
09:22:59        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:22:59        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09          sda      0,20      0,00      1,60      0,00      8,00      0,00      5,00      0,10
09:23:09         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09         sda2      0,20      0,00      1,60      0,00      8,00      0,00      5,00      0,10
09:23:09        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:09        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19          sda      0,90      0,00      8,00      0,00      8,89      0,00      1,33      0,09
09:23:19         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19         sda2      0,90      0,00      8,00      0,00      8,89      0,00      1,33      0,09
09:23:19        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:19        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29          sda      0,30      0,00      4,80      0,00     16,00      0,00      5,00      0,14
09:23:29         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29         sda2      0,30      0,00      4,80      0,00     16,00      0,00      5,00      0,14
09:23:29        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:29        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39          sda      0,30      0,00      5,20      0,00     17,33      0,00      5,33      0,15
09:23:39         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39         sda2      0,30      0,00      5,20      0,00     17,33      0,00      5,33      0,15
09:23:39        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:39        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49          sda      0,30      0,00      4,40      0,00     14,67      0,00      3,33      0,10
09:23:49         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49         sda2      0,30      0,00      4,40      0,00     14,67      0,00      3,33      0,10
09:23:49        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:49        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:59        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:23:59        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
